Given ID,First Name,Last Name,Gender,Birth Date,Prefer to be with,Prefer Not to be with,attr 1,attr 2,attr 3,attr 4
654196184,Monty,Akast,Female,30/03/2002,123209685;465876269,,4.16,2.28,4.14,3.1
635566683,Sunshine,Lavies,Female,14/04/2001,508637540;527771484,,2.77,3.39,3.73,4.32
622128590,Ketti,Simnor,Female,25/11/2002,789496068;913780813,,4.46,3.34,4.94,4.46
251850671,Cissy,Garmanson,Female,03/03/2000,397455352;343297807,465876269,4.79,1.15,4.44,2.81
836113867,Marys,Redier,Male,22/10/2001,600372846;855378585,599414383,1.42,1.13,0.2,1.02
536869429,Tobin,Parriss,Female,25/02/2000,589342867;842044316,314361882,1.96,4.84,2.96,3.21
277095092,Gerardo,Lampaert,Female,03/11/2000,573846618;707589807,203352054,4.21,4.45,3.47,1.3
707589807,Veronica,Winscomb,Male,04/02/2001,565610142;782475448,323877826,3.58,2.66,3.41,4.6
519518933,Karlie,Linforth,Female,07/12/2001,756679719;714269453,581584648,4.05,3.14,3.46,1.73
849261888,Aldin,Sleep,Male,02/05/2001,376824464;135088477,272523642,0.96,3.09,2.29,0.35
248021539,Haze,Reddings,Female,19/04/2000,855378585;894314987,913225439,2.2,1.57,0.89,3.14
896839109,April,Connell,Male,07/01/2001,492345523;849261888,426727387,1.72,4.92,3.76,3.92
588451876,Dedra,Urien,Female,17/12/2000,913780813;196330647,202967696,2.58,2.5,1.8,3.25
455025859,Erwin,Zellmer,Female,13/01/2001,135088477;877922339,551986973,4.64,3.92,3.28,4.59
112220670,Brion,Larder,Female,13/05/2002,296935828;190952589,236762744,3.89,1.71,3.22,1.77
478492985,Sebastiano,Hinksen,Female,14/01/2001,421130070;175172135,,2.62,1.32,1.28,1.73
634123383,Hettie,Wreiford,Female,13/02/2002,837237941;239158645,,1.54,4.46,2.55,0.15
283466575,Devonna,Vern,Female,06/01/2001,851548777;287427651,,1.89,2.46,2.42,1.83
721681683,Beverie,Pavic,Male,01/04/2000,599099544;600372846,,4.27,0.65,0.28,3.17
874861742,Buck,Atkinson,Male,01/06/2000,871011109;959078335,,2.55,4.85,3,3.57
957786960,Nevil,Colbourne,Male,27/05/2000,483835553;619418738,,0.28,3.6,4.68,1.57
